arxiv_id,role,paired_with,title,top1_score,top1_title,top1_arxiv_id,top3_scores,top10_json,strong_match,strong_match_reason,skip_reason
1201.4618v1,control,1308.0311v2,Perfect Reconstruction of Oncogenetic Trees,0.684,On the smallest trees with the same restricted $U$-polynomial and the rooted $U$-polynomial,2002.08186,"[0.684, 0.6709, 0.668]","[{""title"": ""On the smallest trees with the same restricted $U$-polynomial and the rooted $U$-polynomial"", ""score"": 0.684, ""arxiv_id"": ""2002.08186""}, {""title"": ""Trees with at least $6\\ell+11$ vertices are $\\ell$-reconstructible"", ""score"": 0.6709, ""arxiv_id"": ""2307.10035""}, {""title"": ""Reconstruction of graphs via asymmetry"", ""score"": 0.668, ""arxiv_id"": ""1611.01609""}, {""title"": ""Bijections on $r$-Shi and $r$-Catalan Arrangements"", ""score"": 0.658, ""arxiv_id"": ""2005.08574""}, {""title"": ""Genealogies of records of stochastic processes with stationary increments as unimodular trees"", ""score"": 0.6542, ""arxiv_id"": ""2403.05657""}, {""title"": ""Robust estimation of tree structured models"", ""score"": 0.6526, ""arxiv_id"": ""2102.05472""}, {""title"": ""Matchings on trees and the adjacency matrix: A determinantal viewpoint"", ""score"": 0.6503, ""arxiv_id"": ""2011.04012""}, {""title"": ""Competition Numbers, Quasi-Line Graphs and Holes"", ""score"": 0.6448, ""arxiv_id"": ""1110.2933""}, {""title"": ""The Matroid Structure of Representative Triple Sets and Triple-Closure Computation"", ""score"": 0.6439, ""arxiv_id"": ""1707.01667""}]",false,top-1 score 0.684 < 0.75,
1002.2004v7,retracted,0904.2471v1,Generalized external cone condition for domains in Riemannian manifolds,,,,,,false,skip: no_theorem_env,no_theorem_env
0904.2471v1,control,1002.2004v7,Un modèle non-linéaire de prolifération cellulaire : extinction des cellules et invariance,0.7044,"Existence, positivity and stability for a nonlinear model of cellular proliferation",0904.2473,"[0.7044, 0.5707, 0.5667]","[{""title"": ""Existence, positivity and stability for a nonlinear model of cellular proliferation"", ""score"": 0.7044, ""arxiv_id"": ""0904.2473""}, {""title"": ""Free Jacobi Process"", ""score"": 0.5707, ""arxiv_id"": ""0606218""}, {""title"": ""Fully homogenized model for immiscible incompressible two-phase flow through heterogeneous porous me"", ""score"": 0.5667, ""arxiv_id"": ""1403.0826""}, {""title"": ""Population dynamics model for aging"", ""score"": 0.5634, ""arxiv_id"": ""2309.17106""}, {""title"": ""Discrete limit and monotonicity properties of the Floquet eigenvalue in an age structured cell divis"", ""score"": 0.5626, ""arxiv_id"": ""1301.2151""}, {""title"": ""Population dynamics model for aging"", ""score"": 0.5473, ""arxiv_id"": ""2309.17106""}, {""title"": ""PDE model for multi-patch epidemic models with migration and infection-age dependent infectivity"", ""score"": 0.545, ""arxiv_id"": ""2304.03080""}, {""title"": ""Analysis of a Population Model Structured by the Cells Molecular Content"", ""score"": 0.5433, ""arxiv_id"": ""0810.1174""}]",false,top-1 score 0.7044 < 0.75,
0907.3263v2,retracted,0808.0064v1,Simon's conjecture for fibered knots,0.6929,Simon's conjecture for 2-bridge knots,0903.2898,"[0.6929, 0.6614, 0.6453]","[{""title"": ""Simon's conjecture for 2-bridge knots"", ""score"": 0.6929, ""arxiv_id"": ""0903.2898""}, {""title"": ""Heegaard genus and complexity of fibered knots"", ""score"": 0.6614, ""arxiv_id"": ""1912.13019""}, {""title"": ""Additional cases of positive twisted torus knots"", ""score"": 0.6453, ""arxiv_id"": ""1701.03835""}, {""title"": ""Toroidal homology spheres and SU(2)-representations"", ""score"": 0.6443, ""arxiv_id"": ""2101.02621""}, {""title"": ""A survey of the Thurston norm"", ""score"": 0.6389, ""arxiv_id"": ""2108.08645""}, {""title"": ""Skein modules and character varieties of Seifert manifolds"", ""score"": 0.6374, ""arxiv_id"": ""2405.18557""}, {""title"": ""A note on orderability and Dehn filling"", ""score"": 0.6367, ""arxiv_id"": ""1807.00742""}, {""title"": ""Finite slope cyclic surgeries along toroidal Brunnian links and generalized Properties P and R"", ""score"": 0.632, ""arxiv_id"": ""1504.01321""}, {""title"": ""Finite knot surgeries and Heegaard Floer homology"", ""score"": 0.6228, ""arxiv_id"": ""1201.4187""}, {""title"": ""A calculus for bordered Floer homology"", ""score"": 0.6216, ""arxiv_id"": ""1508.05445""}]",false,top-1 score 0.6929 < 0.75,
0808.0064v1,control,0907.3263v2,On tabulating virtual strings,,,,,,false,skip: no_theorem_env,no_theorem_env
1302.3933v2,retracted,1201.4026v2,The Weak Finitistic Dimension of a Path Algebra is Finite,0.6556,Homological Invariants of Left and Right Serial Path Algebras,2506.02307,"[0.6556, 0.6502, 0.6412]","[{""title"": ""Homological Invariants of Left and Right Serial Path Algebras"", ""score"": 0.6556, ""arxiv_id"": ""2506.02307""}, {""title"": ""Homological invariants of generalized bound path algebras"", ""score"": 0.6502, ""arxiv_id"": ""2207.09488""}, {""title"": ""Rejective subcategories of artin algebras and orders"", ""score"": 0.6412, ""arxiv_id"": ""0311281""}, {""title"": ""Convex subquivers and the finitistic dimension"", ""score"": 0.6368, ""arxiv_id"": ""1703.04562""}, {""title"": ""Lie Derivations of Dual Extension Algebras"", ""score"": 0.6351, ""arxiv_id"": ""1303.0831""}, {""title"": ""Frobenius-Perron Theory of Endofunctors"", ""score"": 0.6313, ""arxiv_id"": ""1711.06670""}, {""title"": ""Comparisons between singularity categories and relative stable categories of finite groups"", ""score"": 0.6301, ""arxiv_id"": ""1601.07727""}, {""title"": ""Monoidal model structures over infinite groups"", ""score"": 0.6268, ""arxiv_id"": ""2510.08195""}, {""title"": ""Derived equivalences between matrix subrings and their applications"", ""score"": 0.6252, ""arxiv_id"": ""1108.0126""}, {""title"": ""K-Theory for operator algebras. Classification of C$^*$-algebras"", ""score"": 0.6251, ""arxiv_id"": ""0902.3381""}]",false,top-1 score 0.6556 < 0.75,
1201.4026v2,control,1302.3933v2,The cohomological reduction method for computing n-dimensional cocyclic matrices,,,,,,false,skip: no_theorem_env,no_theorem_env
1609.02090v2,retracted,1501.01654v1,A variant of Waring's Problem for the ring of integers modulo n,0.662,A Method to Construct $1$-Rotational Factorizations of Complete Graphs and Solutions to the Oberwolfach Problem,1810.10047,"[0.662, 0.655, 0.6529]","[{""title"": ""A Method to Construct $1$-Rotational Factorizations of Complete Graphs and Solutions to the Oberwolf"", ""score"": 0.662, ""arxiv_id"": ""1810.10047""}, {""title"": ""On superspecial abelian varieties over finite fields"", ""score"": 0.655, ""arxiv_id"": ""1602.02541""}, {""title"": ""On a Paley-type graph on $\\mathbb{Z}_n$"", ""score"": 0.6529, ""arxiv_id"": ""2012.09735""}, {""title"": ""Rings with $u-1$ Quasinilpotent for Each Unit $u$"", ""score"": 0.6489, ""arxiv_id"": ""2402.15455""}, {""title"": ""The four-way intersection problem for latin squares"", ""score"": 0.644, ""arxiv_id"": ""1408.6725""}, {""title"": ""Dynamics of Chebyshev endomorphisms on some affine algebraic varieties"", ""score"": 0.6376, ""arxiv_id"": ""2207.03657""}, {""title"": ""Finite subgroups of extended Morava stabilizer groups"", ""score"": 0.6373, ""arxiv_id"": ""1206.1951""}, {""title"": ""Class fields and form class groups for solving certain quadratic Diophantine equations"", ""score"": 0.6357, ""arxiv_id"": ""2308.11250""}, {""title"": ""Partitions into a small number of part sizes"", ""score"": 0.6333, ""arxiv_id"": ""1502.00366""}, {""title"": ""Representing Integers as the Sum of Two Squares in the Ring $\\Z_n$"", ""score"": 0.6325, ""arxiv_id"": ""1404.0187""}]",false,top-1 score 0.662 < 0.75,
1501.01654v1,control,1609.02090v2,A Characterization of almost universal ternary inhomogeneous quadratic polynomials with conductor 2,0.7902,A characterization of almost universal ternary quadratic polynomials with odd prime power conductor,1402.1640,"[0.7902, 0.7791, 0.6556]","[{""title"": ""A characterization of almost universal ternary quadratic polynomials with odd prime power conductor"", ""score"": 0.7902, ""arxiv_id"": ""1402.1640""}, {""title"": ""A characterization of almost universal ternary quadratic polynomials with odd prime power conductor"", ""score"": 0.7791, ""arxiv_id"": ""1402.1640""}, {""title"": ""A characterization of almost universal ternary quadratic polynomials with odd prime power conductor"", ""score"": 0.6556, ""arxiv_id"": ""1402.1640""}, {""title"": ""On almost universal mixed sums of squares and triangular numbers"", ""score"": 0.6204, ""arxiv_id"": ""0808.2761""}, {""title"": ""Representations of almost regular m-gonal forms I"", ""score"": 0.6157, ""arxiv_id"": ""2102.09330""}, {""title"": ""Almost universality of a sum of norms"", ""score"": 0.6061, ""arxiv_id"": ""1302.2457""}]",true,top-1 score 0.7902 >= 0.75,
2605.05526v2,retracted,2501.12205v1,"The vertex Folkman number F_v(3,3;5) equals 8",0.6966,Characterizing 3-sets in Union-Closed Families,1903.02317,"[0.6966, 0.6589, 0.6527]","[{""title"": ""Characterizing 3-sets in Union-Closed Families"", ""score"": 0.6966, ""arxiv_id"": ""1903.02317""}, {""title"": ""Truncated degree DP-colourability of $K_{2,4}$-minor free graphs"", ""score"": 0.6589, ""arxiv_id"": ""2312.15962""}, {""title"": ""On The Vertex Folkman Numbers $F_v(\\underbrace{2,...,2}_r;r-1)$ and $F_v(\\underbrace{2,...,2}_r;r-2)"", ""score"": 0.6527, ""arxiv_id"": ""0903.3151""}, {""title"": ""The degree threshold for covering with all the connected $3$-graphs with $3$ edges"", ""score"": 0.6508, ""arxiv_id"": ""2308.10059""}, {""title"": ""The Tur\u00e1n number of $F_{3,3}$"", ""score"": 0.6439, ""arxiv_id"": ""1102.2141""}, {""title"": ""On The Vertex Folkman Numbers $F_v(\\underbrace{2,...,2}_r;r-1)$ and $F_v(\\underbrace{2,...,2}_r;r-2)"", ""score"": 0.6409, ""arxiv_id"": ""0903.3151""}, {""title"": ""Border rank bounds for $GL(V)$-invariant tensors arising from matrices of constant rank"", ""score"": 0.64, ""arxiv_id"": ""2405.05895""}, {""title"": ""Characterizing 3-sets in Union-Closed Families"", ""score"": 0.638, ""arxiv_id"": ""1903.02317""}, {""title"": ""Characterizing 3-sets in Union-Closed Families"", ""score"": 0.6362, ""arxiv_id"": ""1903.02317""}, {""title"": ""A note on Ramsey numbers for Berge-G hyper graphs"", ""score"": 0.6349, ""arxiv_id"": ""1807.10062""}]",false,top-1 score 0.6966 < 0.75,
2501.12205v1,control,2605.05526v2,The random graph process is globally synchronizing,0.741,Expander graphs are globally synchronizing,2210.12788,"[0.741, 0.6555, 0.6465]","[{""title"": ""Expander graphs are globally synchronizing"", ""score"": 0.741, ""arxiv_id"": ""2210.12788""}, {""title"": ""Guarantees for Spontaneous Synchronization on Random Geometric Graphs"", ""score"": 0.6555, ""arxiv_id"": ""2208.12246""}, {""title"": ""Synchronization of finite-state pulse-coupled oscillators"", ""score"": 0.6465, ""arxiv_id"": ""1407.1103""}, {""title"": ""Rapid social connectivity"", ""score"": 0.6389, ""arxiv_id"": ""1608.07621""}, {""title"": ""On the probability of being synchronizable"", ""score"": 0.6285, ""arxiv_id"": ""1304.5774""}, {""title"": ""Expander graphs are globally synchronizing"", ""score"": 0.6282, ""arxiv_id"": ""2210.12788""}, {""title"": ""Threshold Graphs Are Globally Synchronizing"", ""score"": 0.6208, ""arxiv_id"": ""2511.12646""}, {""title"": ""Guarantees for Spontaneous Synchronization on Random Geometric Graphs"", ""score"": 0.607, ""arxiv_id"": ""2208.12246""}, {""title"": ""Synchronization of finite-state pulse-coupled oscillators"", ""score"": 0.6034, ""arxiv_id"": ""1407.1103""}]",false,top-1 score 0.741 < 0.75,
math/0508043v4,retracted,math/0402452v2,An analogue of Young's lattice for compositions,0.683,The $m$-colored composition poset,0512369,"[0.683, 0.6462, 0.6451]","[{""title"": ""The $m$-colored composition poset"", ""score"": 0.683, ""arxiv_id"": ""0512369""}, {""title"": ""Quasisymmetric Schur $Q$-functions and peak Young quasisymmetric Schur functions"", ""score"": 0.6462, ""arxiv_id"": ""2405.05867""}, {""title"": ""Quasisymmetric Schur $Q$-functions and peak Young quasisymmetric Schur functions"", ""score"": 0.6451, ""arxiv_id"": ""2405.05867""}, {""title"": ""Maximal chain descent orders"", ""score"": 0.6408, ""arxiv_id"": ""2209.15142""}, {""title"": ""Noncommutative Symmetric Systems over Associative Algebras"", ""score"": 0.6246, ""arxiv_id"": ""0509133""}, {""title"": ""A quantum Murnaghan--Nakayama rule for the flag manifold"", ""score"": 0.6187, ""arxiv_id"": ""2406.05311""}, {""title"": ""Three Fuss-Catalan posets in interaction and their associative algebras"", ""score"": 0.6109, ""arxiv_id"": ""2007.02378""}, {""title"": ""A Basis for the Symplectic Group Branching Algebra"", ""score"": 0.6106, ""arxiv_id"": ""1005.2320""}, {""title"": ""On the graded dual numbers, arcs, and non-crossing partitions of the integers"", ""score"": 0.6092, ""arxiv_id"": ""1611.02070""}, {""title"": ""Rowmotion on fences"", ""score"": 0.603, ""arxiv_id"": ""2108.12443""}]",false,top-1 score 0.683 < 0.75,
math/0402452v2,control,math/0508043v4,Perfect Matchings and the Octahedron Recurrence,,,,,,false,skip: no_theorem_env,no_theorem_env
1004.3381v4,retracted,0904.1783v3,Polynomial Bounds on the Slicing Number,0.7856,Permutation classes,1409.5159,"[0.7856, 0.7722, 0.766]","[{""title"": ""Permutation classes"", ""score"": 0.7856, ""arxiv_id"": ""1409.5159""}, {""title"": ""An Erd\u0151s--Hajnal analogue for permutation classes"", ""score"": 0.7722, ""arxiv_id"": ""1511.01076""}, {""title"": ""Well-Quasi-Order for Permutation Graphs Omitting a Path and a Clique"", ""score"": 0.766, ""arxiv_id"": ""1312.5907""}, {""title"": ""Counting Blanks in Polygonal Arrangements"", ""score"": 0.6382, ""arxiv_id"": ""1604.00960""}, {""title"": ""Random-Order Online Independent Set of Intervals and Hyperrectangles"", ""score"": 0.6376, ""arxiv_id"": ""2402.14201""}, {""title"": ""Independent sets and hitting sets of bicolored rectangular families"", ""score"": 0.6299, ""arxiv_id"": ""1411.2311""}, {""title"": ""Counting Blanks in Polygonal Arrangements"", ""score"": 0.6279, ""arxiv_id"": ""1604.00960""}, {""title"": ""Piercing axis-parallel boxes"", ""score"": 0.6179, ""arxiv_id"": ""1705.00089""}, {""title"": ""Modulation invariant bilinear T(1) theorem"", ""score"": 0.6125, ""arxiv_id"": ""0710.0973""}, {""title"": ""Maximum Area Rectangle Separating Red and Blue Points"", ""score"": 0.6071, ""arxiv_id"": ""1706.03268""}]",true,top-1 score 0.7856 >= 0.75,
0904.1783v3,control,1004.3381v4,Exact Join Detection for Convex Polyhedra and Other Numerical Abstractions,,,,,,false,skip: no_theorem_env,no_theorem_env
math/0604362v4,retracted,math/0504586v2,Eigenvalues of non-reversible Markov chains: their connection to mixing times,0.725,Shuffling via Transpositions,2504.07918,"[0.725, 0.7166, 0.7107]","[{""title"": ""Shuffling via Transpositions"", ""score"": 0.725, ""arxiv_id"": ""2504.07918""}, {""title"": ""Topics in Markov chains: mixing and escape rate"", ""score"": 0.7166, ""arxiv_id"": ""1506.04850""}, {""title"": ""Linear Recurrent Sequences, Markov Chains and Their Applications in Graph Theory"", ""score"": 0.7107, ""arxiv_id"": ""2510.03537""}, {""title"": ""Cutoff for a One-sided Transposition Shuffle"", ""score"": 0.697, ""arxiv_id"": ""1907.12074""}, {""title"": ""Total Variation and Separation Cutoffs are not equivalent and neither one implies the other"", ""score"": 0.6856, ""arxiv_id"": ""1508.03913""}, {""title"": ""Linear Recurrent Sequences, Markov Chains and Their Applications in Graph Theory"", ""score"": 0.684, ""arxiv_id"": ""2510.03537""}, {""title"": ""On sensitivity of mixing times and cutoff"", ""score"": 0.6837, ""arxiv_id"": ""1610.04357""}, {""title"": ""The Spectral Gap of Sparse Random Digraphs"", ""score"": 0.6815, ""arxiv_id"": ""1708.00530""}, {""title"": ""The Convergence rate of the Gibbs sampler for the $2-$D Ising model via a geometric bound"", ""score"": 0.6781, ""arxiv_id"": ""1804.09198""}, {""title"": ""Cutoff Phenomenon for Random Walks on Kneser Graphs"", ""score"": 0.6748, ""arxiv_id"": ""1404.4598""}]",false,top-1 score 0.725 < 0.75,
math/0504586v2,control,math/0604362v4,Quantitative noise sensitivity and exceptional times for percolation,0.6762,A survey on dynamical percolation,0901.4760,"[0.6762, 0.663, 0.6192]","[{""title"": ""A survey on dynamical percolation"", ""score"": 0.6762, ""arxiv_id"": ""0901.4760""}, {""title"": ""Lectures on noise sensitivity and percolation"", ""score"": 0.663, ""arxiv_id"": ""1102.5761""}, {""title"": ""Percolation of finite clusters and infinite surfaces"", ""score"": 0.6192, ""arxiv_id"": ""1303.1657""}, {""title"": ""Generalised oriented site percolation"", ""score"": 0.6107, ""arxiv_id"": ""2103.15621""}, {""title"": ""Percolation of finite clusters and infinite surfaces"", ""score"": 0.6008, ""arxiv_id"": ""1303.1657""}, {""title"": ""Number of paths in oriented percolation as zero temperature limit of directed polymer"", ""score"": 0.5991, ""arxiv_id"": ""2103.13687""}, {""title"": ""Brownian snails with removal die out in one dimension"", ""score"": 0.5967, ""arxiv_id"": ""2305.10751""}, {""title"": ""Number of paths in oriented percolation as zero temperature limit of directed polymer"", ""score"": 0.5966, ""arxiv_id"": ""2103.13687""}, {""title"": ""The Maker-Breaker percolation game on a random board"", ""score"": 0.5933, ""arxiv_id"": ""2402.17547""}]",false,top-1 score 0.6762 < 0.75,
1307.2069v5,retracted,1201.3855v1,On the curvature of level sets of harmonic functions,0.6898,Wentzel-Laplace eigenvalues comparison,2006.11823,"[0.6898, 0.6691, 0.666]","[{""title"": ""Wentzel-Laplace eigenvalues comparison"", ""score"": 0.6898, ""arxiv_id"": ""2006.11823""}, {""title"": ""Unique continuation for locally uniformly distributed measures"", ""score"": 0.6691, ""arxiv_id"": ""2501.13869""}, {""title"": ""Rigidity results for elliptic boundary value problems: stable solutions for quasilinear equations wi"", ""score"": 0.666, ""arxiv_id"": ""1709.07934""}, {""title"": ""A condition equivalent to the H\u00f6lder continuity of harmonic functions on unbounded Lipschitz domains"", ""score"": 0.665, ""arxiv_id"": ""2507.14511""}, {""title"": ""Regularity of Hamiltonian Stationary Equations in Symplectic manifolds"", ""score"": 0.6618, ""arxiv_id"": ""2108.00325""}, {""title"": ""Lipschitz conditions on bounded harmonic functions on the upper half-space"", ""score"": 0.6613, ""arxiv_id"": ""2501.15315""}, {""title"": ""Regularity of K\u00e4hler-Ricci flows on Fano manifolds"", ""score"": 0.6608, ""arxiv_id"": ""1310.5897""}, {""title"": ""A new proof of the Willmore inequality via a divergence inequality"", ""score"": 0.6492, ""arxiv_id"": ""2401.11939""}, {""title"": ""Serrin's overdetermined problems on epigraphs"", ""score"": 0.6492, ""arxiv_id"": ""2502.04812""}, {""title"": ""Existence and regularity for prescribed Lorentzian mean curvature hypersurfaces, and the Born-Infeld"", ""score"": 0.6482, ""arxiv_id"": ""2112.11283""}]",false,top-1 score 0.6898 < 0.75,
1201.3855v1,control,1307.2069v5,Calderón commutators and the Cauchy integral on Lipschitz curves revisited III. Polydisc extensions,0.7295,Calderón commutators and the Cauchy integral on Lipschitz curves revisited I. First commutator and generalizations,1201.3845,"[0.7295, 0.7195, 0.6932]","[{""title"": ""Calder\u00f3n commutators and the Cauchy integral on Lipschitz curves revisited I. First commutator and g"", ""score"": 0.7295, ""arxiv_id"": ""1201.3845""}, {""title"": ""Hardy spaces of holomorphic functions for domains in $\\mathbb C^n$ with minimal smoothness"", ""score"": 0.7195, ""arxiv_id"": ""1506.03748""}, {""title"": ""Multilinear Multiplier Theorems and Applications"", ""score"": 0.6932, ""arxiv_id"": ""1511.08117""}, {""title"": ""Hoeffding's inequalities for geometrically ergodic Markov chains on general state space"", ""score"": 0.6841, ""arxiv_id"": ""1201.2265""}, {""title"": ""Generalizations of the Carleson-Hunt theorem I. The classical singularity case"", ""score"": 0.6793, ""arxiv_id"": ""0508102""}, {""title"": ""Single annulus $L^p$ estimates for Hilbert transforms along vector fields"", ""score"": 0.6726, ""arxiv_id"": ""1109.6395""}, {""title"": ""Strichartz Inequalities for Lipschitz Metrics on Manifolds and Nonlinear Schrodinger Equation on Dom"", ""score"": 0.671, ""arxiv_id"": ""0512639""}, {""title"": ""The Cauchy-Szeg\\H o projection for domains in $\\mathbb C^n% with minimal smoothness"", ""score"": 0.6688, ""arxiv_id"": ""1506.03965""}, {""title"": ""L^p-summability of Riesz means for the sublaplacian on complex spheres"", ""score"": 0.664, ""arxiv_id"": ""0811.3087""}]",false,top-1 score 0.7295 < 0.75,
1311.0211v2,retracted,1201.3842v2,Hunter & Mole,0.5993,Further results on the Hunters and Rabbit game through monotonicity,2309.16533,"[0.5993, 0.5939, 0.5919]","[{""title"": ""Further results on the Hunters and Rabbit game through monotonicity"", ""score"": 0.5993, ""arxiv_id"": ""2309.16533""}, {""title"": ""Further results on the Hunters and Rabbit game through monotonicity"", ""score"": 0.5939, ""arxiv_id"": ""2309.16533""}, {""title"": ""Further results on the Hunters and Rabbit game through monotonicity"", ""score"": 0.5919, ""arxiv_id"": ""2309.16533""}, {""title"": ""Improved Bounds for Relaxed Graceful Trees"", ""score"": 0.5814, ""arxiv_id"": ""1402.0196""}, {""title"": ""The capture time in the game of cops and many robbers"", ""score"": 0.5788, ""arxiv_id"": ""2509.10022""}, {""title"": ""Making multigraphs simple by a sequence of double edge swaps"", ""score"": 0.5751, ""arxiv_id"": ""1904.06999""}, {""title"": ""Extremal Cat Herding"", ""score"": 0.5746, ""arxiv_id"": ""2505.07588""}, {""title"": ""How to Hunt an Invisible Rabbit on a Graph"", ""score"": 0.5732, ""arxiv_id"": ""1502.05614""}, {""title"": ""Coarse geometry of the Cops and robber game"", ""score"": 0.5698, ""arxiv_id"": ""2207.06463""}, {""title"": ""Cops and robbers on $2K_2$-free graphs"", ""score"": 0.5686, ""arxiv_id"": ""2001.03124""}]",false,top-1 score 0.5993 < 0.75,
1201.3842v2,control,1311.0211v2,New Bounds on van der Waerden-type Numbers for Generalized 3-term Arithmetic Progressions,0.651,Cyclic matroids,2112.14914,"[0.651, 0.6491, 0.6368]","[{""title"": ""Cyclic matroids"", ""score"": 0.651, ""arxiv_id"": ""2112.14914""}, {""title"": ""A square-grid coloring problem"", ""score"": 0.6491, ""arxiv_id"": ""2004.10192""}, {""title"": ""Counting paths, cycles and blow-ups in planar graphs"", ""score"": 0.6368, ""arxiv_id"": ""2101.05911""}, {""title"": ""The perfect 2-colorings of infinite circulant graphs with a continuous set of odd distances"", ""score"": 0.6366, ""arxiv_id"": ""1903.09444""}, {""title"": ""Some New Results on Monochromatic Sums and Products in the Rationals"", ""score"": 0.6285, ""arxiv_id"": ""2210.07831""}, {""title"": ""Circular Coloring and Fractional Coloring in Planar Graphs"", ""score"": 0.6257, ""arxiv_id"": ""2007.00182""}, {""title"": ""A class of quadratic difference equations on a finite graph"", ""score"": 0.6097, ""arxiv_id"": ""1109.3286""}, {""title"": ""Circular Coloring and Fractional Coloring in Planar Graphs"", ""score"": 0.6088, ""arxiv_id"": ""2007.00182""}, {""title"": ""Circular Coloring and Fractional Coloring in Planar Graphs"", ""score"": 0.6082, ""arxiv_id"": ""2007.00182""}]",false,top-1 score 0.651 < 0.75,
1608.00364v2,retracted,1501.01768v3,Normality of general elephants on 3-fold terminal flips,,,,,,false,skip: no_theorem_env,no_theorem_env
1501.01768v3,control,1608.00364v2,Cycle connectivity and pseudoconcavity of flag domains,,,,,,false,skip: no_theorem_env,no_theorem_env
1203.2173v2,retracted,1101.4070v1,Global rough solutions for the Zakharov system in two spatial dimensions,0.7163,The Stochastic Strichartz estimates and stochastic nonlinear Schrödinger equations driven by Lévy noise,2001.05259,"[0.7163, 0.7075, 0.7071]","[{""title"": ""The Stochastic Strichartz estimates and stochastic nonlinear Schr\u00f6dinger equations driven by L\u00e9vy no"", ""score"": 0.7163, ""arxiv_id"": ""2001.05259""}, {""title"": ""Existence and dimensional lower bound for the global attractor of a PDE model for ant trail formatio"", ""score"": 0.7075, ""arxiv_id"": ""2504.01765""}, {""title"": ""Two dimensional Gross-Pitaevskii equation with space-time white noise"", ""score"": 0.7071, ""arxiv_id"": ""2101.10106""}, {""title"": ""Global Well-posedness for the fourth order nonlinear Schr\u00f6dinger equations with small rough data in "", ""score"": 0.7064, ""arxiv_id"": ""0811.1419""}, {""title"": ""Global well-posedness and twist-wave solutions for the inertial Qian-Sheng model of liquid crystals"", ""score"": 0.6979, ""arxiv_id"": ""1608.08872""}, {""title"": ""Global Existence of Large Solutions for the 3D incompressible Navier--Stokes--Poisson--Nernst--Planc"", ""score"": 0.6974, ""arxiv_id"": ""2308.14243""}, {""title"": ""Convergence of capillary fluid models: from the non-local to the local Korteweg model"", ""score"": 0.6959, ""arxiv_id"": ""1101.2398""}, {""title"": ""Local and global existence for the Ericksen-Leslie problem in unbounded domains"", ""score"": 0.6951, ""arxiv_id"": ""2401.08193""}, {""title"": ""On well-posedness of the Cauchy problem for MHD system in Besov spaces"", ""score"": 0.6947, ""arxiv_id"": ""0607458""}, {""title"": ""Quantitative asymptotic stability of the quasi-linearly stratified densities in the IPM equation on "", ""score"": 0.6943, ""arxiv_id"": ""2210.11437""}]",false,top-1 score 0.7163 < 0.75,
1101.4070v1,control,1203.2173v2,Smooth Attractors for the Brinkman-Forchheimer equations with fast growing nonlinearities,0.7235,Inertial manifolds for the 3D modified-Leray-$α$ model with periodic boundary conditions,1510.08936,"[0.7235, 0.713, 0.7089]","[{""title"": ""Inertial manifolds for the 3D modified-Leray-$\u03b1$ model with periodic boundary conditions"", ""score"": 0.7235, ""arxiv_id"": ""1510.08936""}, {""title"": ""Preventing blow up by convective terms in dissipative PDEs"", ""score"": 0.713, ""arxiv_id"": ""1509.03845""}, {""title"": ""Inertial manifolds for the 3D modified-Leray-$\u03b1$ model with periodic boundary conditions"", ""score"": 0.7089, ""arxiv_id"": ""1510.08936""}, {""title"": ""Stabilization to trajectories for parabolic equations"", ""score"": 0.701, ""arxiv_id"": ""1608.02412""}, {""title"": ""On the thin-film equation with nonlinear surface tension term"", ""score"": 0.7006, ""arxiv_id"": ""1510.01476""}, {""title"": ""Initial-boundary value problem for 2D temperature-dependent tropical climate model"", ""score"": 0.6967, ""arxiv_id"": ""2307.15482""}, {""title"": ""Preventing blow up by convective terms in dissipative PDEs"", ""score"": 0.6967, ""arxiv_id"": ""1509.03845""}]",false,top-1 score 0.7235 < 0.75,
